Ward,Place_Name,Place_ID,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Chuo,Suginomori Shrine,ChIJc4hCu1OJGGAR_ru6C64yuTA,0,6,0,1,8,2,17,3,5,8
Chuo,Suehiro Shrine,ChIJc1ZLN06JGGARgKpfVVWubp4,0,2,0,1,1,1,7,0,1,1
Chuo,Hisamatsu Childrens Park,ChIJmR7bC06JGGARLma1SuhF87E,1,9,1,5,5,7,13,2,4,13
Chuo,賀茂真淵県居の跡,ChIJdQukfU6JGGARrGylYbDAKtA,2,8,1,1,3,6,15,1,1,4
Chuo,HiashiNihonbashi Childrens Playgorund,ChIJ_w8kQE2JGGARAN_MIC69NBQ,0,2,1,0,3,8,5,2,5,3
Chuo,Horidome Childrens Park,ChIJC2rRZlGJGGARADpjo6WQrpI,1,4,2,0,9,9,12,2,6,10
Chuo,Ningyōchō Karakuri Yagura,ChIJDdJsKFCJGGAR_LtuNlL-Wz4,0,9,0,1,3,2,8,0,1,5
Chuo,Benkei from Kanjincho,ChIJD__5BU-JGGAR5IKXKzpGNRo,3,3,2,3,1,7,15,1,1,5
Chuo,Amazakeyokocho,ChIJWUQg3E-JGGARurzf23V2D9s,2,4,1,1,3,2,7,0,2,3
Chuo,Site of Saigō Takamoris Former Residence,ChIJWT6EOFCJGGARQIyroNNG_eE,1,1,0,1,1,1,9,1,1,6
Chuo,Ningyocho Mechanical Clock Tower  Rakugo Performer,ChIJzYytP-mJGGARNLqgfLhxoxo,3,12,0,1,5,3,15,2,2,6
Chuo,Hamachō Park,ChIJVVWxhEiJGGARsDYT-3WKc0E,1,7,1,2,5,4,12,2,2,4
Chuo,ChildRaising Kappa,ChIJ3UJAckWJGGARsofcGiUkavQ,0,5,0,2,8,1,12,1,2,8
Chuo,オカメザクラ通りあじさい通り,ChIJbe2lR_SJGGARBgZKhykDwDE,0,6,0,0,12,0,26,0,2,6
Chuo,Founding Place of Japans Postal Service,ChIJvZMp5ZiJGGARpOjrs28ifTU,1,4,0,0,0,1,4,0,1,4
Chuo,Yanagi Bridge,ChIJ7TkQRbOOGGARNrJRvDQpCKQ,2,6,1,2,2,3,18,3,1,7
Chuo,Nihonbashi Fish Market Monument,ChIJZXozZVaJGGAR8hnc9IIESZ8,4,10,1,3,3,4,15,2,4,5
Chuo,First National Bank Birthplace,ChIJL40trVCJGGARNlkutiABADE,7,2,2,4,8,8,17,3,6,19
Chuo,Stone pillar of Kaiun Bridge,ChIJK2E1RleJGGARxZosdSQCgIY,13,8,2,5,3,21,29,9,2,16
Chuo,Mitsui Honkan,ChIJq3fYnFWJGGARPz4hlEVggCU,0,1,0,0,2,0,4,0,1,2
Chuo,National Film Archive of Japan,ChIJDTEgTOKLGGARRjeD6dnAoVY,3,8,2,3,10,8,26,6,6,9
Chuo,Pola Museum Annex,ChIJM7rZi-OLGGARkL-rCS_OHyw,2,5,2,1,6,1,11,2,7,3
Chuo,Sakuragawa Park,ChIJxdRDb16JGGARPwIuXnWRGRk,1,6,1,1,5,1,6,1,5,4
Chuo,Ginza Canon Gallery,ChIJQw9ey-aLGGAR-PGXL1t98x0,0,3,0,1,5,1,15,1,1,7
Chuo,Kashima Arts Co Ltd,ChIJpTdsYuKLGGARNsnAH3hUf2U,1,9,1,3,5,5,17,1,2,9
Chuo,Mitsukoshi Lion Sculpture,ChIJU2J8iOaLGGAReNtcR5-9osw,0,3,0,4,2,1,7,1,2,0
Chuo,Police Museum,ChIJV8wGu-OLGGAR1HVqNbP6r2c,1,5,0,6,5,4,27,3,3,16
Chuo,Tokyo Takarakuji Dreamkan,ChIJsW8HWuKLGGAR5fpJi6JDLWk,1,35,2,4,11,5,22,3,5,14
Chuo,Owl Cafe Ginza,ChIJQYZKGOaLGGAR1z0TR8uLzSs,3,12,2,7,14,15,37,6,7,15
Chuo,Teppozu Inari Shrine,ChIJm3Zzb2eJGGARHKbKJcBHB4w,1,3,0,3,3,1,7,1,2,6
Chuo,Tsukuda Park,ChIJAcDs82WJGGARRXmL_0ojH2g,1,15,1,4,21,9,40,5,8,15
Chuo,Old Cathedral of St Joseph,ChIJmQBfRGGJGGARmvUyNV6e1J8,0,11,0,1,11,4,18,2,1,19
Chuo,Shinkanabashi Childrens Park,ChIJqxmv2OGLGGAR9uwJm8IA2gs,1,7,1,3,4,8,9,2,2,3
Chuo,Kaedegawa Shintomibashi Park,ChIJq3CvMuCLGGARJdSwg-XkM-U,1,3,0,2,3,3,4,1,0,3
Chuo,Kyōbashi Park,ChIJn76wuOGLGGAR78WCEuv9vTQ,0,2,0,0,0,1,3,0,0,0
Chuo,Miyoshi Bridge Monument,ChIJKTxnOOCLGGARgnqqTvzz1nc,3,4,1,1,1,10,13,1,3,1
Chuo,Tsukijigawa Kameibashi Park,ChIJXXI0b-CLGGARwewp4OuBYdU,2,6,2,1,9,6,18,0,3,6
Chuo,Irifune Bridge,ChIJ9fxraGCJGGARHg6DOb_XktI,0,0,0,0,1,0,5,0,0,0
Chuo,Mizutanibashi Park,ChIJq5bv0eOLGGARrlEm2rzrx1U,2,7,2,0,10,6,21,1,7,15
Chuo,Kamei Bridge,ChIJLcCqZeCLGGARUKTAGlta6ZQ,0,2,0,1,0,0,1,0,2,0
Chuo,Kaedegawa Takarabashi Park,ChIJg3ARwFiJGGARegjGfE7ao54,3,3,5,3,1,8,5,4,0,2
Chuo,Kyobashi Stele,ChIJ4R26vOOLGGARhqBH00DH2O0,4,1,1,2,0,6,7,3,0,7
Chuo,Takara Jizoson,ChIJgwc9lFiJGGAREx6Dnh5Xli0,0,7,1,7,6,9,12,7,5,4
Chuo,Tsukijigawa Iwaibashi Park,ChIJ56U1heCLGGARv-0KIy572mA,0,1,1,0,1,3,3,1,1,1
Chuo,Edo Kabuki Birthplace,ChIJI2z0muOLGGAR_vvyJQi_qvE,3,6,1,4,5,3,14,3,2,4
Chuo,京橋大根河岸青物市場跡の碑,ChIJJQAnmeOLGGARLXVQCOYq6ks,0,11,0,3,6,2,16,2,1,6
Chuo,Central Museum Ginza,ChIJu2ZczOaLGGARqyh2nbbn8gk,0,5,0,0,5,0,10,0,2,4
Chuo,Origin of Ginza Monument,ChIJrR16BeSLGGAR31Ezs8CKOKQ,2,5,0,1,1,4,9,0,1,4
Chuo,Katakura Hall Façade Medallion,ChIJ08PpauOLGGARnhyyGJAI5XI,2,3,0,3,2,3,25,1,1,8
Chuo,Ryunosuke Akutagawa Birthplace Monument,ChIJtQTYm2GJGGARB5eEdrkF7vU,5,4,2,3,2,8,7,6,5,3
Chuo,Teppōsu Childrens Park,ChIJp8p4bGeJGGAR_JYU-_z0Trk,1,3,1,1,2,1,7,0,1,2
Chuo,Momijigawa Kyūanbashi Park,ChIJd5Lrk1iJGGARXM-ZHwpQbOQ,0,2,4,1,2,7,4,2,2,3
Chuo,Japans Top 100 Streets Ginza 3chome,ChIJq59OWdWLGGAR_xmE8GbhogI,1,1,0,1,1,0,2,0,1,1
Chuo,Kyuan Bridge,ChIJQc5k-FiJGGARytQF8BqddKs,1,1,1,1,1,1,3,1,0,0
Chuo,Chirori the Therapy Dog,ChIJ91aIHt6LGGARQJ7duvE22FA,4,5,4,4,2,5,15,3,1,2
Chuo,Tsukijigawa Park,ChIJe7vq7GGJGGARwqsdCgIvefw,2,7,2,0,9,5,10,0,5,7
Chuo,Kabuki Inari Shrine,ChIJVcCfs-CLGGARfSIMmkZGYoU,1,11,0,3,11,5,18,3,6,9
Chuo,American Legation Memorial Stones,ChIJ1zeHemGJGGARM6GVHscmGfA,1,5,1,0,12,4,18,3,4,9
Chuo,Teusler Memorial Hall,ChIJpXBPe2GJGGARaazVUCDpass,0,7,0,1,7,2,23,0,4,8
Chuo,Ginza Central Street,ChIJRQ2BJ-SLGGARBo5lWSuc-jM,0,6,0,0,6,0,7,1,6,3
Chuo,Kamejima Bridge,ChIJ79eM8NOJGGARZ_oqMW7mGqo,2,3,0,3,4,3,17,1,3,3
Chuo,Birthplace Monument of Rikkyo Gakuin,ChIJMRxEeWGJGGAR0GRB7j5hYf0,9,7,0,2,5,12,14,3,2,13
Chuo,Memorial Place Monument of Aoyama Gakuin,ChIJ474npWaJGGARoKfIoxcXdic,0,1,0,0,0,0,2,0,0,3
Chuo,Yasubei Horibe Taketsune Monument,ChIJHbjiE1yJGGAR89zSPg7C02k,5,4,0,7,4,8,16,3,5,8
Chuo,Akatsuki Park Adventure Square,ChIJw6TBhmGJGGARvGRPMPJ_tSA,0,3,0,3,3,5,7,1,0,2
Chuo,ART AQUARIUM MUSEUM,ChIJ6UVSHl2JGGARDurMrMPwvdk,1,16,2,4,20,7,43,8,15,17
Chuo,Namiki Dōri Street,ChIJie-XJjSLGGARkF7l_8BMlUM,0,2,0,0,2,0,4,0,1,2
Chuo,Memorial to the Pearl King Mikimoto,ChIJPWUPgeaLGGAR6M2YnWjhXkE,3,6,1,1,1,2,19,1,2,6
Chuo,Minamitaka Bridge,ChIJ1cpzo16JGGARiSDgHzOhMfo,0,1,0,0,1,5,5,0,0,2
Chuo,Hamarikyū Gardens,ChIJwfegutyLGGARGjiY-L2eSps,6,10,2,2,19,8,31,5,5,12
Chuo,Namiyoke Shrine,ChIJa4JUjdiLGGARfzINTSU_X0s,3,16,0,15,13,12,31,4,13,11
Chuo,Toyomi Fish Museum,ChIJFaigWtSLGGARdptHpiZqSPg,1,8,1,5,9,4,23,1,2,9
Chuo,Hatoba Park,ChIJx3P6-2KJGGARKkrq4_tlnd4,3,7,1,1,9,6,18,1,4,9
Chuo,Toyomi Sports Park,ChIJ00LkcdWLGGAR-da62MvKl2M,0,4,0,0,3,0,5,0,2,4
Chuo,Kachidoki Gochome Green Park,ChIJ4UMx-daLGGARujFMUN9N2wc,0,4,1,0,3,3,8,0,1,2
Chuo,Kaikobashi gate,ChIJhYIO79iLGGARn9k6sqJL0ZE,1,5,0,2,1,1,7,1,2,1
Chuo,勝鬨の渡し跡,ChIJUbMYjmKJGGARUByMne8RIMM,3,2,0,2,1,3,8,1,2,2
Chuo,Site of Former Warship Training Institute 軍艦操練所跡,ChIJx7w3n9iLGGARnns7Z1HDCCU,0,1,0,0,0,1,0,1,0,1
Chuo,Nishinaka Bridge,ChIJe5JIfnuJGGARrWyjwLWMeXo,2,6,1,1,12,4,25,1,1,5
Chuo,Ichibabashi Park,ChIJ_7_Sjd6LGGARbsL1p098360,1,5,2,2,4,4,7,0,3,5
Chuo,300 YearOld Pine,ChIJETsVn9yLGGARO6YBehyxOIQ,7,9,5,0,11,5,15,7,8,8
Chuo,Matsunoochaya,ChIJq6oG0dqLGGARbqmloLdHBfg,0,2,0,1,2,3,10,0,1,4
Chuo,Hobaitei,ChIJh23vSduLGGARP_2KeeyV4Gw,6,9,4,3,17,16,28,9,10,17
Chuo,Asashio Canal Waterfront Park,ChIJs1692niJGGARbdFnoUtNLWo,0,2,1,0,2,1,5,0,5,2
Chuo,Tsukiji River Sendaibashi Bridge Park,ChIJzyRXst2LGGARSThDMARiY04,3,4,1,5,2,5,4,1,3,4
Chuo,Chuo Kuritsu Akatsuki Park,ChIJV2cV0WOJGGARuydNncDj020,0,3,0,0,2,1,6,1,2,3
Chuo,Triton Bridge,ChIJ-ZQzEXmJGGARFFcuoepqGzc,2,1,2,3,1,3,6,2,1,0
Chuo,Reimei Bridge Park,ChIJByFr9HiJGGARVlD-8jmlxPo,4,8,0,5,8,7,11,3,2,4
Chuo,Uneme Bridge,ChIJfVrJnlKLGGARnOCUVziw2mQ,1,4,1,4,3,1,5,1,1,1
Chuo,Ruins of Hamarikyumae Railway Crossing,ChIJPdj7I92LGGARR9f4X1-fID0,16,12,0,14,3,21,10,15,3,3
Chuo,Tsukiji River Uneme Bridge Park,ChIJKZcP5d2LGGARdgYADLEjCgU,3,6,3,5,7,6,10,0,5,5
Chuo,Harumi Rinkai Park,ChIJ4W4dM52JGGARld0hfrQ9WIM,2,2,2,1,2,3,4,2,2,1
Chuo,Harumi No 3 Park,ChIJwabWDHiJGGARL4RE9TI-MIo,3,7,2,4,10,3,19,3,9,12
Chuo,Waterside Terrace,ChIJYwlk-ZyJGGAReqfam73wXVk,1,7,0,2,10,8,21,4,8,7
Chuo,Chuo Kuritsu Harumi Daiichi Park,ChIJDeDHe4GJGGARkMYrxC5Qspw,1,10,1,4,10,4,22,0,4,7
Chuo,Asashio Bridge,ChIJzVDJBXqJGGARyD-pAQ2wnDw,3,5,2,4,7,5,13,2,6,6
Chuo,Ishikawajima Museum,ChIJd6HdOG-JGGARg0Z9lieRosQ,1,6,1,2,2,7,22,3,3,8
Chuo,Bank of Japans Founding Place,ChIJFZHDTEKJGGAR5KkBn53DwhQ,2,4,1,1,5,4,16,3,1,5
Chuo,Tsukishima Monja Street,ChIJZ8PuP3CJGGARAXwWdc4PGQw,1,9,1,1,11,2,22,0,4,14
Chuo,Sumiyoshi Jinja,ChIJtbY4fG-JGGARBcvW4yUB2rM,1,1,1,1,3,2,10,1,1,3
Chuo,Chuo City Harbor Park,ChIJZ1N7WmaJGGARedOihu9IFDs,1,5,2,1,5,5,9,2,4,7
Chuo,Katsuozuka Bonito Mound,ChIJU0bQh2WJGGARwNDqKpZcris,0,3,0,1,2,2,5,0,2,3
Chuo,Tsukuda Machikado Museum,ChIJq-qVkGWJGGARrK_GNSIDk_Q,3,10,3,4,6,5,12,4,5,7
Chuo,Tsukudakobashi Bridge,ChIJXW6Shm-JGGARG2GT8dohPhs,1,3,0,2,0,1,2,0,0,3
Chuo,Echizenbori Childrens Park,ChIJWbeBKV2JGGARUrCWDmTv8KM,0,2,1,0,2,1,6,2,2,3
Chuo,Toyomi Bridge,ChIJTydvRkKJGGARjKbSv6IMqx8,1,5,0,1,3,1,7,1,4,2
Chuo,Tsukuda 3Chōme Park,ChIJ1VOka3GJGGARtUYTsozhGrM,0,4,0,2,4,4,11,0,4,5
Chuo,Memorials to the victims of the 1923 Great Kantō earthquake and World War II Tokyo Air Raids,ChIJoZnnd1yJGGAREjNp7RFbtF4,4,6,1,11,3,7,6,4,5,3
Chuo,Asashio Ohashi Bridge,ChIJU2iaSnGJGGARFh1rzpdIO8M,1,5,0,1,2,2,5,1,2,8
Chuo,Reigan Bridge,ChIJS7wHlfqJGGARDkxaAgaReYM,1,8,0,0,3,2,8,0,2,4
Chuo,The History Museum of JKoreans,ChIJ6QCZVaGLGGAR9QS6CROQGvA,1,2,2,2,3,4,13,4,1,5
Chuo,お肉の情報館,ChIJrR24gUSKGGARqfx1r-LJyag,15,17,20,23,14,26,44,18,9,20
Minato,Benkei Bridge,ChIJR0xmHHyMGGARAeMJayOwBhk,0,2,0,1,8,3,14,2,1,6
Minato,Ad Museum Tokyo,ChIJ2VtGysKLGGAR2oS8_Y_o-pk,0,4,0,1,4,1,23,0,0,8
Minato,Caretta Shiodome Sky View,ChIJrx_Ez8KLGGARPUaHxocRqHk,0,3,0,0,5,1,16,0,1,10
Minato,TAKESHIBA BBQ BEER GARDEN,ChIJY_7vC_WLGGARLuzytQ_z7Es,3,6,0,1,11,1,16,1,4,7
Minato,Moyai Statues,ChIJj9zko6mLGGARPQClKoJ3rRE,1,1,0,1,2,2,8,0,2,2
Minato,Aoyama Cemetery,ChIJIe1uymKLGGARGpOwOiZEDog,6,24,3,11,38,12,53,12,13,23
Minato,The National Art Center Tokyo,ChIJP-vO9nuLGGARGJ2q8uryJUA,1,9,0,2,6,6,21,2,5,10
Minato,Izumo Taisha Tokyo,ChIJQUsA2nmLGGARYAdeN1dwsWc,1,7,1,2,7,5,11,2,4,6
Minato,Akasaka Sacas,ChIJUyA7lICLGGARuHfsHqZ2U0Y,1,6,1,1,3,3,12,2,2,2
Minato,Nogijinja Shrine,ChIJwR2lZ36LGGAR43Z0b6e3Gw4,0,7,0,1,6,5,13,0,3,9
Minato,TOTO GALLERY  MA,ChIJOxerKXyLGGARKNvbpemyeys,1,9,1,2,7,3,27,4,6,8
Minato,Okura Museum of Art,ChIJC5-nF5CLGGAR9M3JUrPsBj8,7,17,4,4,15,15,32,13,8,13
Minato,Tomio Koyama Gallery,ChIJSzvUeD-JGGARLYi3ApW9NAo,1,7,0,1,7,1,19,3,6,7
Minato,Tokyo City View,ChIJK0TdDneLGGARVxJ3MHC0emY,14,42,10,16,33,23,83,9,16,30
Minato,Prince Chichibu Memorial Rugby Stadium,ChIJizNDvpuMGGAR9QdEmLoDOnQ,1,11,0,2,9,0,14,0,4,9
Minato,Toyokawa Inari Tokyo Annex,ChIJK-keEn6MGGARyZaLZnQVdgU,0,8,1,4,16,4,31,1,5,12
Minato,Chōkokuji,ChIJP8YkXGSLGGARF02Vs75NFEc,0,10,0,1,6,2,7,0,6,6
Minato,21_21 DESIGN SIGHT,ChIJV4H0Nn-LGGAR2g7_9Kourf4,0,7,1,0,7,4,28,2,5,2
Minato,Wine Shop Sommelier,ChIJaUEw5XeLGGARirrLUJr6v2c,1,6,0,1,5,1,8,0,3,5
Minato,Taro Okamoto Memorial Museum,ChIJJbavS2GLGGARFLUeTte2lt0,4,10,5,3,9,11,21,6,9,4
Minato,TEPIA Advanced Technology Gallery,ChIJL6t-1JuMGGARxviRyLV_l7M,2,7,0,1,7,2,15,0,3,10
Minato,Reinanzaka Church,ChIJhUq-rJqLGGARvfm2U3mDSi8,0,16,1,0,21,4,27,3,2,19
Minato,Daughters of St Paul,ChIJXcjhO36LGGARDWlbd4nsG7o,2,6,1,4,14,4,20,3,3,13
Minato,Kikuchi Kanjitsu Memorial Tomo Museum,ChIJ3RlOVJCLGGARB3R2XWU5FtE,1,12,2,1,19,7,35,10,9,8
Minato,Beni Museum,ChIJ1ZCFSWSLGGARpUEUiKoCxLo,2,5,1,2,5,12,25,2,4,12
Minato,Entsuji,ChIJ80H9BoCLGGAR6H1LryVGdWU,0,1,1,2,4,3,7,1,1,4
Minato,Honda Welcome Plaza Aoyama,ChIJ6ZZ5DoOMGGAR05jTAq9xqVQ,1,5,3,0,4,7,12,1,0,9
Minato,STRIPED HOUSE GALLERY,ChIJd6PjkJ2LGGAR1mUOYtcqmDI,0,5,0,0,1,0,5,0,1,2
Minato,Suntory Museum of Art,ChIJbSqxxHiLGGARKEK0IzZMksI,3,2,0,2,5,6,17,4,4,5
Minato,Tokyo Midtown Design Hub,ChIJVVVVwXiLGGARdfqsI40Y-u8,0,1,0,0,0,0,11,0,0,2
Minato,Mohri Garden,ChIJKwbstHeLGGARxzy-ttu57CM,1,12,1,1,16,5,31,2,6,13
Minato,Roppongi Hills,ChIJM9xJEHeLGGARAshMWUgC_ls,0,11,0,1,10,4,18,3,5,9
Minato,Myōzenji Temple,ChIJz3y1NneLGGARwPRxEIn8viE,0,6,0,3,4,2,16,2,1,3
Minato,Kōjintei  Bujian,ChIJmVBbD2SLGGARMMF2OfGPoto,0,2,1,1,5,4,8,0,2,3
Minato,イマームムハンマドイブンサウードイスラーム大学東京分校 アラブ イスラーム学院,ChIJ6VY-FnSLGGARN-I0bRXoA4Y,0,1,0,2,1,5,4,1,1,3
Minato,Takahashi Korekiyo Memorial Park,ChIJN-aSBYGMGGARV4hamU-HF9I,0,1,1,0,2,2,8,3,1,5
Minato,MinamiAoyama Sanchome green space,ChIJm6me2Z2MGGARJ561Thd-7WE,0,1,0,0,1,0,3,1,1,2
Minato,Shotaro Akiyama Photo Art Museum,ChIJ_7sGxGOLGGAR7PhH5QQ5nNw,1,1,2,1,2,4,6,3,0,3
Minato,Treasure Hall of Nogi Jinja,ChIJTR-RYH6LGGARnwqqNfwiddE,2,4,2,3,6,4,11,3,4,3
Minato,Midtown Garden,ChIJx0V7jrqLGGAR_VT5Fj3yNZ8,2,11,2,0,15,2,23,2,10,14
Minato,Nogi Park,ChIJk1Vhhn6LGGARl0MVL-KexZQ,0,2,0,1,3,3,19,5,1,2
Minato,Hinokicho Park,ChIJqcU4DIKLGGARBxWj4fGnB_k,1,4,1,0,6,3,11,3,3,4
Minato,Shutokuji,ChIJeUTg9H-LGGARhRkke_sJdt0,0,2,0,3,3,4,10,3,0,7
Minato,Hodoji,ChIJOV0HO4CLGGARIRBcJmeA19s,1,5,1,10,7,11,18,10,4,7
Minato,Dokyoji,ChIJ4QTp_n-LGGARYybasrO8CQI,2,5,2,2,1,3,3,3,2,2
Minato,Hitotsugi Park,ChIJKTY1SoCLGGAR1ODjP4rZwPE,1,4,1,1,3,5,3,2,3,3
Minato,Sanpun Zaka,ChIJR2WgSICLGGARDaal6un4-dg,3,6,1,2,4,6,18,3,2,9
Minato,Former Site of the House of Kaishu Katsu,ChIJ62EneYGLGGARy3pBngNNGqA,0,2,0,2,2,2,5,3,2,3
Minato,Aoba Park,ChIJoxynW4KMGGARTvUBjheB7Ts,0,5,0,0,8,2,11,2,4,5
Minato,Naoya Shiga former residence mark,ChIJZznb8YKLGGAR9btzF0JkQxQ,1,4,1,1,2,2,2,0,3,1
Minato,Motohikawa Zaka,ChIJay28x4OLGGARqfWZzc_uxus,0,3,1,2,3,2,11,0,0,3
Minato,Ichogaoka Third Infantry Regiment of the Imperial Guard,ChIJLyLKDICLGGAR-sngoOoTN7I,2,2,1,2,2,1,4,1,1,4
Minato,Roppongi West Park,ChIJpWTtOXiLGGARheMngAQjX5g,0,4,0,0,5,2,6,0,2,3
Minato,Ruins of Takanawa Ōkido Gate,ChIJCVfWNq2LGGARvuAHzNroBTc,6,4,1,2,4,8,15,1,2,9
Minato,Site of the seppuku ritualistic execution of Oishi Yoshitaka and the other 16 Akougishi Akou Roshi samurai,ChIJt8JMCKmLGGAROamwk0o7_-o,3,5,3,8,4,18,19,5,6,17
Minato,Sengakuji,ChIJh64KT6uLGGARKx4cxgOaL54,9,6,2,11,9,17,33,10,3,14
Minato,Koyasan Tokyo Betsuin,ChIJ4Y-GGVWKGGARAHFc8A6VDf0,1,3,2,2,4,3,18,2,2,7
Minato,MitaHachimanjinja Shrine,ChIJX_Qh8q2LGGARghTq3Di6f8g,3,18,1,7,18,5,31,3,13,16
Minato,Hatakeyama Memorial Museum of Fine Art,ChIJZQpgdf6KGGARXCH1FGs07t0,2,5,1,2,11,6,18,5,5,6
Minato,Gyoranji,ChIJHZxnrK6LGGAR0d63CW4NM5M,5,20,2,4,11,5,29,2,8,27
Minato,Hoanji Temple,ChIJCWZucKuLGGARTJ16cpGhJ3k,0,8,1,0,10,6,20,2,3,15
Minato,Takamatsu Kusunoki Park,ChIJKXMIRamLGGARDlEnzmXhxqM,0,6,0,1,6,2,9,0,4,4
Minato,Mita Enzetsukan,ChIJ6fYVHbCLGGARO6V6Z6Cj-Pg,1,8,1,3,5,2,52,1,3,19
Minato,Museum of Logistics,ChIJ_wDxK1aKGGARvv10tNDypZs,0,5,0,0,4,1,8,0,2,8
Minato,Takanawa Mori No Park,ChIJeX5U41aKGGARpQJCQQWMQrE,1,5,2,0,6,4,7,2,2,4
Minato,Azabu Kokubisui Hot Spring Takenoyu,ChIJP8qx4KCLGGARrA6QxMdha0E,4,8,1,2,7,9,29,3,2,11
Minato,Shirokane Hikawajinja Shrine,ChIJWXpokgeLGGARRc7Blgtb41Y,1,5,1,2,5,3,13,1,2,5
Minato,Maxell Aqua Park Shinagawa,ChIJC1aZZFeKGGARGLX8IHTOn-c,7,25,5,3,35,14,60,9,20,42
Minato,Tōzenji Temple,ChIJlaWyUFSKGGARjGBTT9eQH-M,2,2,3,1,9,8,21,2,3,13
Minato,Yanaginoido Well,ChIJtxFmRqCLGGARP4T9Fd6pCUk,17,15,10,8,14,21,35,8,11,22
Minato,Shibaura Chuo Park,ChIJgYTYlk6KGGAR24EkOo5CfeU,0,8,0,2,10,5,13,1,3,13
Minato,Zuishōji,ChIJ11c1XwGLGGARw7yjtmaO3HA,0,8,0,1,8,4,17,2,4,10
Minato,Takanawa Shrine,ChIJl-1sm1OKGGARKF7IMwZLpYk,1,0,0,0,1,6,6,1,2,0
Minato,Daizōji Temple,ChIJO-TOZ66LGGARv-Oet9rkVi4,0,6,0,1,3,4,11,2,3,7
Minato,Ninganji Temple,ChIJRb_N2q6LGGARDxgxOv7lMBM,0,2,0,4,2,4,12,5,0,7
Minato,新芝運河沿緑地,ChIJp0Mi0UyKGGAR7f9b_0U3Xic,1,3,0,2,3,1,5,0,2,2
Minato,Trinity Shibaura Green Space,ChIJOXTkaEuKGGARCPXwDjBxdY8,1,2,0,0,6,1,10,0,1,5
Minato,歯科医学教育発祥之地,ChIJ2Q1AZ6yLGGAR4Fy7Df5J-Js,2,8,0,2,6,2,20,2,5,23
Minato,Mitadai Park,ChIJAcBBLqyLGGARuADg9RGme-E,4,6,2,5,7,8,13,5,5,11
Minato,泉岳寺 中門,ChIJ1T-1rKyLGGARxv05GXYzjik,0,1,1,1,2,2,11,0,0,16
Minato,Sengakuji Childrens Playground,ChIJoV9gUFOKGGARtdGqsuW_2GU,0,4,0,1,5,1,8,0,3,4
Minato,Bloody Plum Bloody Stone,ChIJrxh0TauLGGAR4mSTduX_58M,12,5,5,2,7,8,13,2,7,9
Minato,Takamatsu Childrens Playground,ChIJ5wpfSaqLGGAR6q8ks2I980Y,3,5,0,1,3,2,7,0,2,5
Minato,Head Washing Well,ChIJsYMRTauLGGARM4SwXVL4N4w,5,5,4,16,5,20,22,13,4,7
Minato,Grave of Oishi Kuranosuke,ChIJVz-cNauLGGARqP4z7F-0dyM,3,5,1,6,10,6,16,5,2,9
Minato,Genwa Christian Heritage,ChIJ34OL7a2LGGARoErdIT0622I,7,8,1,6,2,11,16,5,4,7
Minato,Genshōji Temple,ChIJXxK3dqqLGGAR3Vw9RQ5Lyy4,1,5,1,6,4,7,13,6,2,6
Minato,Shirokane Shidacho Childrens Park,ChIJVZ_lhqiLGGARYb6sZIBbc8o,0,8,2,0,7,7,14,0,4,4
Minato,Hebizaka,ChIJEdikpa-LGGAR1J7AchwjYN0,0,0,7,6,0,7,5,0,0,1
Minato,Hakutaka Childrens Playground,ChIJUeCOcaiLGGARyxxiFLKq7vI,0,7,1,0,7,5,11,0,4,4
Minato,柴田錬三郎旧居,ChIJjxIkclSKGGAR8Io6R8GmRkI,0,1,0,0,0,0,6,0,0,3
Minato,Meiji Gakuin Imbrie,ChIJY7X7bgCLGGARUVRCUO3oU5o,1,5,0,3,3,3,17,1,2,9
Minato,Sankouzaka,ChIJGyeOGqGLGGARGL5jUTXneT0,3,7,5,2,4,8,9,6,3,6
Minato,Shinfurukawa Bridge,ChIJjSVGvKeLGGARlNfb8wPMG08,0,2,0,6,2,1,13,1,0,9
Minato,Takahama Bridge,ChIJB0YTHUyKGGAR5DX-E25kdNo,1,5,1,4,3,3,9,1,1,6
Minato,Takanawa Park,ChIJG5biIlSKGGAR8WaSxLR3gBM,2,4,1,0,4,3,7,1,4,6
Minato,日吉坂,ChIJU4S1KAeLGGARrHUp84nOk9Q,0,3,0,0,0,1,1,1,1,1
Minato,Zekkozaka Slope,ChIJWT5qa6eLGGAR47h8mt7M-7c,0,4,1,1,0,4,17,0,0,10
Minato,旧竹田宮邸洋館,ChIJBeLUl1aKGGARHfcT-DlHVC4,0,6,0,2,7,2,22,0,4,15
Minato,Shirokane Park,ChIJA30KCQmLGGARkIlnntrSxOA,2,2,1,1,3,4,4,1,3,2
Minato,Phantom of the gate old Keio University main gate,ChIJ313Ab7CLGGARy7f3Z7AAUgQ,1,1,0,1,1,1,9,1,1,6
Minato,Minamiazabu Shinbori Childrens Playground,ChIJF_EuXAqLGGARwnMrIR9Sgws,4,3,0,2,3,8,8,1,1,4
Minato,Site of Mizuno Kenmotsus Residence,ChIJ4dFsMLGLGGAR555X2dEqv7c,17,14,7,17,12,24,45,9,13,24
Minato,Nagisabashi,ChIJWa4gq2-LGGAR-nOw2_MDMC4,0,3,0,1,1,0,7,1,2,4
